platform,team,event_title,event_date,event_time,venue,city,price_text,price_int,url
VividSeats,Lakers,Boston Celtics at Los Angeles Lakers (Pat Riley Statue Day),Feb 22,3:30pm,Crypto.com Arena,"Los Angeles, CA",From $111,111,https://www.vividseats.com/los-angeles-lakers-tickets-cryptocom-arena-2-22-2026--sports-nba-basketball/production/5939559
VividSeats,Lakers,Orlando Magic at Los Angeles Lakers,Feb 24,7:30pm,Crypto.com Arena,"Los Angeles, CA",From $57,57,https://www.vividseats.com/los-angeles-lakers-tickets-cryptocom-arena-2-24-2026--sports-nba-basketball/production/5939563
VividSeats,Lakers,Los Angeles Lakers at Phoenix Suns,Feb 26,7:00pm,Mortgage Matchup Center,"Phoenix, AZ",From $91,91,https://www.vividseats.com/phoenix-suns-tickets-phx-arena-2-26-2026--sports-nba-basketball/production/5940200
VividSeats,Lakers,Los Angeles Lakers at Golden State Warriors,Feb 28,5:30pm,Chase Center,"San Francisco, CA",From $336,336,https://www.vividseats.com/golden-state-warriors-tickets-chase-center-2-28-2026--sports-nba-basketball/production/5940069
VividSeats,Lakers,Sacramento Kings at Los Angeles Lakers,Mar 1,6:30pm,Crypto.com Arena,"Los Angeles, CA",From $57,57,https://www.vividseats.com/los-angeles-lakers-tickets-cryptocom-arena-3-1-2026--sports-nba-basketball/production/5939570
VividSeats,Lakers,New Orleans Pelicans at Los Angeles Lakers,Mar 3,7:30pm,Crypto.com Arena,"Los Angeles, CA",From $52,52,https://www.vividseats.com/los-angeles-lakers-tickets-cryptocom-arena-3-3-2026--sports-nba-basketball/production/5939808
VividSeats,Lakers,Los Angeles Lakers at Denver Nuggets,Mar 5,8:00pm,Ball Arena,"Denver, CO",From $95,95,https://www.vividseats.com/denver-nuggets-tickets-ball-arena-3-5-2026--sports-nba-basketball/production/5940893
VividSeats,Lakers,Indiana Pacers at Los Angeles Lakers,Mar 6,7:30pm,Crypto.com Arena,"Los Angeles, CA",From $84,84,https://www.vividseats.com/los-angeles-lakers-tickets-cryptocom-arena-3-6-2026--sports-nba-basketball/production/5939815
VividSeats,Lakers,New York Knicks at Los Angeles Lakers,Mar 8,12:30pm,Crypto.com Arena,"Los Angeles, CA",From $84,84,https://www.vividseats.com/los-angeles-lakers-tickets-cryptocom-arena-3-8-2026--sports-nba-basketball/production/5939821
VividSeats,Lakers,Minnesota Timberwolves at Los Angeles Lakers,Mar 10,8:00pm,Crypto.com Arena,"Los Angeles, CA",From $57,57,https://www.vividseats.com/los-angeles-lakers-tickets-cryptocom-arena-3-10-2026--sports-nba-basketball/production/5939831
VividSeats,Lakers,Chicago Bulls at Los Angeles Lakers,Mar 12,7:30pm,Crypto.com Arena,"Los Angeles, CA",From $57,57,https://www.vividseats.com/los-angeles-lakers-tickets-cryptocom-arena-3-12-2026--sports-nba-basketball/production/5939839
